period,metric,value,unit,source_file,anchor_quote
3Q25,net_premiums_and_other_policy_revenue,1002,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
4Q25,net_premiums_and_other_policy_revenue,1745,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
1Q26,net_premiums_and_other_policy_revenue,872,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net premiums and other policy revenue ... $ 1,745 $ 1,002 $ 1,229 $ 1,301'"
4Q24,net_investment_income_incl_funds_withheld,1325,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
1Q25,net_investment_income_incl_funds_withheld,1429,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
2Q25,net_investment_income_incl_funds_withheld,1486,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
3Q25,net_investment_income_incl_funds_withheld,1493,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
4Q25,net_investment_income_incl_funds_withheld,1484,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
1Q26,net_investment_income_incl_funds_withheld,1471,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q1-2026.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4: 'Net investment income, including funds withheld ... 1,484 1,493 1,486 1,429'"
4Q24,net_investment_gains_losses_incl_funds_withheld,115,US$ millions,raw/cross-section/brookfield/supplements/bws-supplemental-q4-2025.pdf,"CONSOLIDATED STATEMENTS OF OPERATIONS p.4 (Dec. 31, 2024 col): 'Net investment gains (losses), including funds withheld ... (175) 431 322 (112)'"
