quarter,metric,value
4Q25,outflow_oosc_planned,-1198
4Q25,outflow_policyholder,-4073
4Q25,outflows_adip,-1554
4Q25,outflows_athene,-7714
4Q25,pga,746
4Q25,retail,7343
4Q25,roll_acra_nci,-3723
4Q25,roll_acra_own,0
4Q25,roll_block,1340
4Q25,roll_ceded_3p,-370
4Q25,roll_gross_inflows,13318
4Q25,roll_net_inflows,10565
4Q25,roll_net_withdrawals,-7714
4Q25,roll_other,1931
4Q25,sre,865
4Q25,sre_alt_nii,344
4Q25,sre_alt_nii_pct,10.19
4Q25,sre_cof,-2742
4Q25,sre_cof_pct,-3.79
4Q25,sre_fees,35
4Q25,sre_fees_pct,0.05
4Q25,sre_fi_nii,3505
4Q25,sre_fi_nii_pct,5.08
4Q25,sre_fin,-158
4Q25,sre_fin_pct,-0.22
4Q25,sre_nie,3849
4Q25,sre_nie_pct,5.32
4Q25,sre_nis,1142
4Q25,sre_nis_pct,1.58
4Q25,sre_opex,-119
4Q25,sre_opex_pct,-0.16
4Q25,sre_pct,1.2
4Q25,total_gross_inflows,14027
4Q25,total_gross_inflows_check,14027
4Q25,total_gross_outflows_check,-9268
FY2024,acra_begin,56651
FY2024,acra_end,72164
FY2024,acra_inflows,18162
FY2024,acra_other,1798
FY2024,acra_own,1774
FY2024,acra_withdrawals,-6221
FY2024,avg_nia,233809
FY2024,avg_nia_alt,11687
FY2024,avg_nia_fi,222122
FY2024,core_outflows,-27248
FY2024,flow_reins,5573
FY2024,funding_agreements,28748
FY2024,gaap_dac,941
FY2024,gaap_fpb,3054
FY2024,gaap_inv_gl,2045
FY2024,gaap_iscb,8949
FY2024,gaap_mrb,-102
FY2024,gaap_ni,4904
FY2024,gaap_ni_ahl,3461
FY2024,gaap_ni_common,3280
FY2024,gaap_ni_nci,1443
FY2024,gaap_nii,14481
FY2024,gaap_opex,2213
FY2024,gaap_other_rev,19
FY2024,gaap_pref,181
FY2024,gaap_pref_red,0
FY2024,gaap_premiums,1318
FY2024,gaap_pretax,5634
FY2024,gaap_product_charges,1016
FY2024,gaap_tax,730
FY2024,gaap_total_be,15055
FY2024,gaap_total_rev,20689
FY2024,gaap_vie_gl,1528
FY2024,gaap_vie_nii,282
FY2024,gross_inorganic,0
FY2024,gross_organic,71003
FY2024,gross_outflows,-33469
FY2024,inflows_adip,17848
FY2024,inflows_athene,49084
FY2024,inflows_ceded_3p,4071
FY2024,net_flows,37534
FY2024,nrl_begin,199289
FY2024,nrl_end,225926
FY2024,other_spread,0
FY2024,outflow_income_planned,-6427
FY2024,outflow_isc_unplanned,-3127
FY2024,outflow_maturity_driven,-12096
FY2024,outflow_oosc_planned,-5598
FY2024,outflow_policyholder,-15152
FY2024,outflows_adip,-6221
FY2024,outflows_athene,-27248
FY2024,pga,918
FY2024,retail,35764
FY2024,roll_acra_nci,-18162
FY2024,roll_acra_own,-1774
FY2024,roll_block,0
FY2024,roll_ceded_3p,-4134
FY2024,roll_gross_inflows,72153
FY2024,roll_net_inflows,49857
FY2024,roll_net_withdrawals,-27248
FY2024,roll_other,5802
FY2024,sre,3221
FY2024,sre_alt_nii,939
FY2024,sre_alt_nii_pct,8.03
FY2024,sre_cof,-7702
FY2024,sre_cof_pct,-3.29
FY2024,sre_fees,105
FY2024,sre_fees_pct,0.04
FY2024,sre_fi_nii,10811
FY2024,sre_fi_nii_pct,4.87
FY2024,sre_fin,-465
FY2024,sre_fin_pct,-0.2
FY2024,sre_nie,11750
FY2024,sre_nie_pct,5.03
FY2024,sre_nis,4153
FY2024,sre_nis_pct,1.78
FY2024,sre_opex,-467
FY2024,sre_opex_pct,-0.2
FY2024,sre_pct,1.38
FY2024,total_gross_inflows,71003
FY2024,total_gross_inflows_check,71003
FY2024,total_gross_outflows_check,-33469
FY2025,acra_begin,72164
FY2025,acra_end,89725
FY2025,acra_inflows,18992
FY2025,acra_other,4372
FY2025,acra_own,0
FY2025,acra_withdrawals,-5803
FY2025,avg_nia,272928
FY2025,avg_nia_alt,12976
FY2025,avg_nia_fi,259952
FY2025,core_outflows,-29725
FY2025,flow_reins,11171
FY2025,funding_agreements,35375
FY2025,gaap_dac,1242
FY2025,gaap_fpb,4433
FY2025,gaap_inv_gl,1544
FY2025,gaap_iscb,12089
FY2025,gaap_mrb,452
FY2025,gaap_ni,4221
FY2025,gaap_ni_ahl,2711
FY2025,gaap_ni_common,2634
FY2025,gaap_ni_nci,1510
FY2025,gaap_nii,17847
FY2025,gaap_opex,2354
FY2025,gaap_other_rev,25
FY2025,gaap_pref,161
FY2025,gaap_pref_red,84
FY2025,gaap_premiums,2628
FY2025,gaap_pretax,5107
FY2025,gaap_product_charges,1137
FY2025,gaap_tax,886
FY2025,gaap_total_be,20570
FY2025,gaap_total_rev,25677
FY2025,gaap_vie_gl,2215
FY2025,gaap_vie_nii,281
FY2025,gross_inorganic,1340
FY2025,gross_organic,82098
FY2025,gross_outflows,-35528
FY2025,inflows_adip,18452
FY2025,inflows_athene,63236
FY2025,inflows_ceded_3p,1750
FY2025,net_flows,47910
FY2025,nrl_begin,225926
FY2025,nrl_end,271233
FY2025,other_spread,674
FY2025,outflow_income_planned,-6871
FY2025,outflow_isc_unplanned,-3390
FY2025,outflow_maturity_driven,-15090
FY2025,outflow_oosc_planned,-4374
FY2025,outflow_policyholder,-14635
FY2025,outflows_adip,-5803
FY2025,outflows_athene,-29725
FY2025,pga,751
FY2025,retail,34127
FY2025,roll_acra_nci,-18992
FY2025,roll_acra_own,0
FY2025,roll_block,1340
FY2025,roll_ceded_3p,-1750
FY2025,roll_gross_inflows,84060
FY2025,roll_net_inflows,64658
FY2025,roll_net_withdrawals,-29725
FY2025,roll_other,10374
FY2025,sre,3361
FY2025,sre_alt_nii,1299
FY2025,sre_alt_nii_pct,10.01
FY2025,sre_cof,-10083
FY2025,sre_cof_pct,-3.69
FY2025,sre_fees,131
FY2025,sre_fees_pct,0.05
FY2025,sre_fi_nii,13026
FY2025,sre_fi_nii_pct,5.01
FY2025,sre_fin,-560
FY2025,sre_fin_pct,-0.21
FY2025,sre_nie,14325
FY2025,sre_nie_pct,5.25
FY2025,sre_nis,4373
FY2025,sre_nis_pct,1.61
FY2025,sre_opex,-452
FY2025,sre_opex_pct,-0.17
FY2025,sre_pct,1.23
FY2025,total_gross_inflows,83438
FY2025,total_gross_inflows_check,83438
FY2025,total_gross_outflows_check,-35528
