section,page,cusip,description,naic_designation,svo_symbol,actual_cost,par_value,fair_value,bacv,stated_rate,effective_rate,acquired,maturity
ICO,5839,66285W-FB-7,,1.D,FE,2386885,1925000,2120041,2350846,6.718,4.895,03/30/2023,01/01/2049
ICO,5839,697388-AM-8,,1.B,FE,10853393,10815000,10840848,10832004,5.95,5.922,10/07/2009,06/01/2035
ICO,5839,702274-BD-2,,1.C,FE,630936,460000,527565,598293,7.148,4.595,10/23/2018,03/01/2043
ICO,5839,73358W-EK-6,,1.D,FE,23500000,23500000,21784735,23500000,4.926,4.926,09/27/2011,10/01/2051
ICO,5839,786744-JH-6,,1.E,FE,5650000,5650000,4075515,5650000,3.385,3.384,02/28/2020,07/01/2050
ICO,5839,792905-DV-0,,1.F,FE,2000000,2000000,2003720,2000000,4.089,4.089,05/29/2015,07/01/2026
ICO,5839,79765R-TL-3,,1.D,FE,37817218,36855000,41342465,37572793,6.95,6.74,04/04/2025,11/01/2050
ICO,5839,79766D-TK-5,,1.D,FE,846014,840000,542707,843174,2.958,2.864,08/20/2021,05/01/2051
ICO,5839,83755V-L4-4,,1.D,FE,1165000,1165000,1010032,1165000,3.593,3.593,11/06/2019,07/01/2039
ICO,5839,83755V-L5-1,,1.D,FE,4260000,4260000,3541338,4260000,3.693,3.693,11/06/2019,07/01/2042
ICO,5839,882667-AZ-1,,2.A,FE,10000000,10000000,8016300,10000000,3.922,3.922,12/11/2019,12/31/2049
ICO,5839,913366-KB-5,,1.D,FE,3000000,3000000,1995300,3000000,3.006,3.006,02/27/2020,05/15/2050
ICO,5839,913366-KC-3,,1.D,FE,3000000,3000000,1947750,3000000,3.256,3.256,02/27/2020,05/15/2060
ICO,5839,914391-A5-6,,1.E,FE,3006630,3000000,3004950,2999747,5.5,5.5,10/25/2021,09/01/2027
ICO,5839,914440-LJ-9,,1.C,FE,1167309,1120000,1147294,1163492,5.45,4.966,10/17/2024,11/01/2040
ICO,5839,977100-GH-3,,1.C,FE,485840,500000,497370,491675,3.154,4.455,01/09/2025,05/01/2027
ICO,5839,05647@-AA-4,,2.B,PL,282675379,282675379,281657747,282675379,5.86,5.903,12/31/2025,12/31/2060
ICO,5839,05647@-AB-2,,2.B,PL,168503856,168503856,167745588,168503856,5.86,5.903,09/22/2025,12/31/2060
ICO,5839,12739@-AA-9,,2.C,YE,19037090,19037090,15463754,19037090,3.77,3.77,03/17/2021,12/31/2046
ICO,5840,50228*-AA-9,,1.G,,9609058,9609058,7752913,9609058,3.73,3.748,09/30/2023,05/30/2049
ICO,5840,54246#-AA-5,,1.E,PL,33461265,33461265,37092876,33461265,6.88,6.882,11/26/2013,12/31/2047
ICO,5840,785592-AU-0,,2.A,FE,7661590,8000000,8009923,7829935,4.2,5.234,07/20/2023,03/15/2028
ICO,5840,785592-AZ-9,,2.A,FE,15258705,15558240,16398074,15317430,5.9,6.194,12/12/2023,09/15/2037
ICO,5840,785592-B*-6,,2.A,FE,63024867,63024867,56359458,63024867,3.08,3.08,07/12/2021,09/15/2037
ICO,5840,81257@-AA-6,,2.C,PL,30000000,30000000,23728698,30000000,3.5,3.5,08/27/2021,03/31/2046
ICO,5840,84929X-AA-7,,2.C,PL,35385036,35385036,35473219,35385036,6.37,6.028,05/24/2023,06/30/2048
ICO,5840,86214@-AA-7,,2.A,PL,1660000000,1660000000,1660000000,1660000000,6.399,6.168,09/26/2025,12/31/2049
ICO,5840,89103*-AA-7,,1.G,Z,867389000,867389000,866434872,867389000,5.89,5.932,10/31/2025,10/31/2043
ICO,5840,P4003#-AA-6,,2.A,PL,283200000,283200000,295236000,283200000,7.07,7.137,02/10/2025,11/30/2044
ICO,5840,Q3975*-AB-3,,2.B,PL,5175000,5175000,5259401,5175000,6.23,6.283,10/30/2025,09/30/2046
ICO,5840,00263@-AA-8,,1.G,PL,280963968,280963968,280293554,280963968,6.0,5.911,06/17/2025,12/15/2049
ICO,5840,03744@-AA-1,,1.G,PL,522565697,522565697,540110252,522565697,6.0,5.896,09/20/2025,09/30/2049
ICO,5840,G2973*-AA-0,,2.B,Z,99881475,100045703,100045703,100045703,6.1,6.1,12/05/2025,12/30/2050
ICO,5840,G2971@-AB-8,,1.F,PL,385952924,428637234,419431958,428592374,5.25,5.231,06/06/2025,11/15/2049
ICO,5840,G2973#-AA-6,,1.G,PL,36211799,36121754,36673887,36207807,7.25,7.279,07/21/2025,05/23/2050
ICO,5840,G2974*-AA-9,,3.C,Z,913830,915333,915333,915333,8.75,8.75,12/05/2025,12/30/2050
ICO,5840,G2973*-AB-8,,2.B,Z,783249337,784537173,784537173,784537173,6.8,6.8,12/05/2025,12/30/2050
ICO,5840,000000-00-0,,2.A,Z,6055620,6000000,6064362,6045506,5.2,4.378,10/08/2025,12/14/2026
ICO,5840,000000-00-0,,1.G,Z,6296206,6510000,6421176,6334180,3.25,4.776,07/29/2025,11/15/2027
ICO,5840,12482S-AB-6,,2.B,Z,2793000,2793000,2793000,2793000,7.042,7.042,11/21/2025,11/26/2030
ICO,5840,000000-00-0,,3.C,Z,45510598,47004078,48241751,47630043,5.5,5.155,05/09/2025,05/15/2033
ICO,5840,000000-00-0,,1.F,FE,14667041,11751019,12312425,13791787,4.88,2.351,04/20/2021,08/16/2033
ICO,5840,000000-00-0,,2.B,FE,6088002,5820000,6055541,6085006,5.75,5.119,11/13/2025,05/15/2035
ICO,5840,000000-00-0,,2.C,FE,6890289,8086253,6809442,7004146,5.25,6.491,10/29/2025,07/15/2042
ICO,5840,001055-AD-4,,1.G,FE,26898610,19999000,22920994,25049951,6.9,4.451,05/16/2018,12/17/2039
ICO,5840,001055-AF-9,,1.G,FE,2358954,2000000,2209978,2300113,6.45,4.985,09/05/2025,08/15/2040
ICO,5840,001055-AR-3,,1.G,FE,12673420,13000000,10454861,12734540,4.0,4.147,01/18/2017,10/15/2046
